
2025/01/21 (20:38:46) | ===> btop++ v.1.2.13
2025/01/21 (20:38:46) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/21 (20:38:46) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2025/01/21 (20:38:49) | ===> btop++ v.1.2.13
2025/01/21 (20:38:49) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/21 (20:38:49) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2025/01/21 (20:41:17) | ===> btop++ v.1.2.13
2025/01/21 (20:41:17) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/21 (20:41:17) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2025/01/21 (20:43:07) | ===> btop++ v.1.2.13
2025/01/21 (20:43:07) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/21 (20:43:07) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2025/01/21 (20:46:27) | ===> btop++ v.1.2.13
2025/01/21 (20:46:27) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/21 (20:46:27) | ERROR: Exception in runner thread -> Cpu:: -> key not found
